CHR,START,STOP,GENE
Chr_01,372904,377248,Migut.01G007500.v3.1
Chr_01,393008,394978,Migut.01G007600.v3.1
Chr_01,395186,398259,Migut.01G007700.v3.1
Chr_01,398033,403868,Migut.01G007800.v3.1
Chr_01,408436,412691,Migut.01G007900.v3.1
Chr_01,416916,418800,Migut.01G008000.v3.1
Chr_01,420323,426654,Migut.01G008100.v3.1
Chr_01,427085,428781,Migut.01G008200.v3.1
Chr_01,429092,431830,Migut.01G008300.v3.1
Chr_01,435103,441389,Migut.01G008400.v3.1
Chr_01,445989,450362,Migut.01G008500.v3.1
Chr_01,452483,455303,Migut.01G008600.v3.1
Chr_01,455933,458592,Migut.01G008700.v3.1
Chr_01,462090,465656,Migut.01G008800.v3.1
Chr_01,465037,468611,Migut.01G008900.v3.1
Chr_01,470771,472149,Migut.01G009000.v3.1
Chr_01,476526,478434,Migut.01G009100.v3.1
Chr_01,478641,480286,Migut.01G009200.v3.1
Chr_01,480241,482141,Migut.01G009300.v3.1
Chr_01,483640,484837,Migut.01G009400.v3.1
Chr_01,485524,486974,Migut.01G009500.v3.1
Chr_01,487775,489403,Migut.01G009600.v3.1
Chr_01,489950,491964,Migut.01G009700.v3.1
Chr_01,491960,493815,Migut.01G009800.v3.1
Chr_01,494429,495221,Migut.01G009900.v3.1
Chr_01,495583,496056,Migut.01G010000.v3.1
Chr_01,496192,499737,Migut.01G010100.v3.1
Chr_01,501988,503210,Migut.01G010200.v3.1
Chr_01,503927,506482,Migut.01G010300.v3.1
Chr_01,505595,507622,Migut.01G010400.v3.1
Chr_01,507373,513479,Migut.01G010500.v3.1
Chr_01,513438,516650,Migut.01G010600.v3.1
Chr_01,518777,520897,Migut.01G010700.v3.1
Chr_01,521070,524356,Migut.01G010800.v3.1
Chr_01,524944,529813,Migut.01G010900.v3.1
Chr_01,536388,540795,Migut.01G011000.v3.1
Chr_01,545827,548868,Migut.01G011100.v3.1
Chr_01,549041,552971,Migut.01G011200.v3.1
Chr_01,553116,556799,Migut.01G011300.v3.1
Chr_01,563566,563925,Migut.01G011400.v3.1
Chr_01,564335,567704,Migut.01G011500.v3.1
Chr_01,568423,569332,Migut.01G011600.v3.1
Chr_01,571814,572494,Migut.01G011700.v3.1
Chr_01,580790,582640,Migut.01G011800.v3.1
Chr_01,584543,585306,Migut.01G011900.v3.1
Chr_01,585944,588649,Migut.01G012000.v3.1
Chr_01,590434,592645,Migut.01G012100.v3.1
Chr_01,591928,594847,Migut.01G012200.v3.1
Chr_01,596534,600758,Migut.01G012300.v3.1
Chr_01,605556,608018,Migut.01G012400.v3.1
Chr_01,608724,610374,Migut.01G012500.v3.1
Chr_01,623402,624474,Migut.01G012600.v3.1
Chr_01,628969,631432,Migut.01G012700.v3.1
Chr_01,632757,634629,Migut.01G012800.v3.1
Chr_01,634456,636970,Migut.01G012900.v3.1
Chr_01,638745,640613,Migut.01G013000.v3.1
Chr_01,644048,644968,Migut.01G013100.v3.1
Chr_01,645742,647013,Migut.01G013200.v3.1
Chr_01,648955,650182,Migut.01G013300.v3.1
Chr_01,652959,656155,Migut.01G013400.v3.1
Chr_01,657225,662668,Migut.01G013500.v3.1
Chr_01,663238,670390,Migut.01G013600.v3.1
Chr_01,670434,673209,Migut.01G013700.v3.1
Chr_01,679267,683098,Migut.01G013800.v3.1
Chr_01,683698,690458,Migut.01G013900.v3.1
Chr_01,693257,694458,Migut.01G014000.v3.1
Chr_01,697244,701260,Migut.01G014100.v3.1
Chr_01,701550,705011,Migut.01G014200.v3.1
Chr_01,710597,715087,Migut.01G014300.v3.1
Chr_01,715350,717441,Migut.01G014400.v3.1
Chr_01,717559,722844,Migut.01G014500.v3.1
Chr_01,730842,734079,Migut.01G014600.v3.1
Chr_01,734143,738392,Migut.01G014700.v3.1
Chr_01,738933,741932,Migut.01G014800.v3.1
Chr_01,742742,744887,Migut.01G014900.v3.1
Chr_01,745245,747334,Migut.01G015000.v3.1
Chr_01,747584,750440,Migut.01G015100.v3.1
Chr_01,753993,755939,Migut.01G015200.v3.1
Chr_01,755938,760060,Migut.01G015300.v3.1
Chr_01,761112,764869,Migut.01G015400.v3.1
Chr_01,766175,771020,Migut.01G015500.v3.1
Chr_01,771811,772008,Migut.01G015600.v3.1
Chr_01,776000,779368,Migut.01G015700.v3.1
Chr_01,779936,783036,Migut.01G015800.v3.1
Chr_01,784951,788734,Migut.01G015900.v3.1
Chr_01,789600,796175,Migut.01G016000.v3.1
Chr_01,796123,800619,Migut.01G016100.v3.1
Chr_01,799882,804645,Migut.01G016200.v3.1
Chr_01,804626,806063,Migut.01G016300.v3.1
Chr_01,809409,810923,Migut.01G016400.v3.1
Chr_01,815553,827308,Migut.01G016500.v3.1
Chr_01,832289,836461,Migut.01G016600.v3.1
Chr_01,840476,854359,Migut.01G016700.v3.1
Chr_01,856278,858588,Migut.01G016800.v3.1
Chr_01,858830,869678,Migut.01G016900.v3.1
Chr_01,870976,873778,Migut.01G017000.v3.1
Chr_01,873871,874525,Migut.01G017100.v3.1
Chr_01,876315,879194,Migut.01G017200.v3.1
Chr_01,879175,883913,Migut.01G017300.v3.1
Chr_01,884946,887280,Migut.01G017400.v3.1
Chr_01,887894,889132,Migut.01G017500.v3.1
Chr_01,889910,891571,Migut.01G017600.v3.1
Chr_01,891371,896817,Migut.01G017700.v3.1
Chr_01,896927,898998,Migut.01G017800.v3.1
Chr_01,898999,901238,Migut.01G017900.v3.1
Chr_01,902193,904665,Migut.01G018000.v3.1
Chr_01,905706,907801,Migut.01G018100.v3.1
Chr_01,908367,909535,Migut.01G018200.v3.1
Chr_01,910374,914162,Migut.01G018300.v3.1
Chr_01,914491,916041,Migut.01G018400.v3.1
Chr_01,917352,922714,Migut.01G018500.v3.1
Chr_01,923204,926696,Migut.01G018600.v3.1
Chr_01,929247,929849,Migut.01G018700.v3.1
Chr_01,932219,932863,Migut.01G018800.v3.1
Chr_01,933435,942835,Migut.01G018900.v3.1
Chr_01,943668,947483,Migut.01G019000.v3.1
Chr_01,952517,953533,Migut.01G019100.v3.1
Chr_01,955918,960079,Migut.01G019200.v3.1
Chr_01,968106,973701,Migut.01G019300.v3.1
Chr_01,974764,979679,Migut.01G019400.v3.1
Chr_01,981320,983109,Migut.01G019500.v3.1
Chr_01,986820,987762,Migut.01G019600.v3.1
Chr_01,988024,990342,Migut.01G019700.v3.1
Chr_01,990343,992156,Migut.01G019800.v3.1
Chr_01,992293,995095,Migut.01G019900.v3.1
Chr_01,995757,1000627,Migut.01G020000.v3.1
Chr_01,1002480,1005147,Migut.01G020100.v3.1
Chr_01,1005070,1007572,Migut.01G020200.v3.1
Chr_01,1025218,1026550,Migut.01G020300.v3.1
Chr_01,1031557,1033621,Migut.01G020400.v3.1
Chr_01,1034309,1037805,Migut.01G020500.v3.1
Chr_01,1037968,1042106,Migut.01G020600.v3.1
Chr_01,1040931,1044108,Migut.01G020700.v3.1
Chr_01,1044121,1046313,Migut.01G020800.v3.1
Chr_01,1046986,1049369,Migut.01G020900.v3.1
Chr_01,1049820,1052855,Migut.01G021000.v3.1
Chr_01,1055598,1056845,Migut.01G021100.v3.1
Chr_01,1057926,1059915,Migut.01G021200.v3.1
Chr_01,1060762,1062628,Migut.01G021300.v3.1
Chr_01,1064276,1067288,Migut.01G021400.v3.1
Chr_01,1067883,1069553,Migut.01G021500.v3.1
Chr_01,1070200,1073531,Migut.01G021600.v3.1
Chr_01,1074218,1074752,Migut.01G021700.v3.1
Chr_01,1074753,1077307,Migut.01G021800.v3.1
Chr_01,1078080,1083071,Migut.01G021900.v3.1
Chr_01,1086119,1089450,Migut.01G022000.v3.1
Chr_01,1090959,1094304,Migut.01G022100.v3.1
Chr_01,1094373,1097535,Migut.01G022200.v3.1
Chr_01,1097744,1103880,Migut.01G022300.v3.1
Chr_01,1104710,1106704,Migut.01G022400.v3.1
Chr_01,1107544,1110327,Migut.01G022500.v3.1
Chr_01,1111098,1115201,Migut.01G022600.v3.1
Chr_01,1115537,1117543,Migut.01G022700.v3.1
Chr_01,1117451,1124595,Migut.01G022800.v3.1
Chr_01,1126762,1130480,Migut.01G022900.v3.1
Chr_01,1130823,1138643,Migut.01G023000.v3.1
Chr_01,1139608,1152680,Migut.01G023100.v3.1
Chr_01,1152458,1154451,Migut.01G023200.v3.1
Chr_01,1170263,1173792,Migut.01G023300.v3.1
Chr_01,1180785,1181799,Migut.01G023400.v3.1
Chr_01,1185790,1187524,Migut.01G023500.v3.1
Chr_01,1187495,1189888,Migut.01G023600.v3.1
Chr_01,1190586,1192354,Migut.01G023700.v3.1
Chr_01,1193936,1195909,Migut.01G023800.v3.1
Chr_01,1205870,1209995,Migut.01G023900.v3.1
Chr_01,1211438,1214174,Migut.01G024000.v3.1
Chr_01,1214778,1216697,Migut.01G024100.v3.1
Chr_01,1215744,1217794,Migut.01G024200.v3.1
Chr_01,1218481,1222640,Migut.01G024300.v3.1
Chr_01,1223695,1225705,Migut.01G024400.v3.1
Chr_01,1225881,1228271,Migut.01G024500.v3.1
Chr_01,1227848,1229549,Migut.01G024600.v3.1
Chr_01,1230341,1231666,Migut.01G024700.v3.1
Chr_01,1231010,1235025,Migut.01G024800.v3.1
Chr_01,1245891,1247985,Migut.01G024900.v3.1
Chr_01,1248600,1270232,Migut.01G025000.v3.1
Chr_01,1276899,1282513,Migut.01G025100.v3.1
Chr_01,1289864,1292636,Migut.01G025200.v3.1
Chr_01,1292887,1297934,Migut.01G025300.v3.1
Chr_01,1299185,1300836,Migut.01G025400.v3.1
Chr_01,1301046,1305610,Migut.01G025500.v3.1
Chr_01,1309201,1310916,Migut.01G025600.v3.1
Chr_01,1311017,1311472,Migut.01G025700.v3.1
Chr_01,1311967,1312768,Migut.01G025800.v3.1
Chr_01,1312847,1316599,Migut.01G025900.v3.1
Chr_01,1317051,1324284,Migut.01G026000.v3.1
Chr_01,1325817,1327909,Migut.01G026100.v3.1
Chr_01,1329135,1332168,Migut.01G026200.v3.1
Chr_01,1332576,1336681,Migut.01G026300.v3.1
Chr_01,1337112,1351756,Migut.01G026400.v3.1
Chr_01,1352102,1354720,Migut.01G026500.v3.1
Chr_01,1354874,1358099,Migut.01G026600.v3.1
Chr_01,1358350,1359911,Migut.01G026700.v3.1
Chr_01,1361874,1367473,Migut.01G026800.v3.1
Chr_01,1367739,1371395,Migut.01G026900.v3.1
Chr_01,1372851,1376827,Migut.01G027000.v3.1
Chr_01,1377201,1382318,Migut.01G027100.v3.1
Chr_01,1387302,1395008,Migut.01G027200.v3.1
Chr_01,1394939,1397538,Migut.01G027300.v3.1
Chr_01,1398822,1402428,Migut.01G027400.v3.1
Chr_01,1407491,1409597,Migut.01G027500.v3.1
Chr_01,1410428,1413182,Migut.01G027600.v3.1
Chr_01,1413727,1418944,Migut.01G027700.v3.1
Chr_01,1419498,1426243,Migut.01G027800.v3.1
Chr_01,1433850,1436039,Migut.01G027900.v3.1
Chr_01,1447048,1455006,Migut.01G028000.v3.1
Chr_01,1460130,1460755,Migut.01G028100.v3.1
Chr_01,1462106,1462967,Migut.01G028200.v3.1
Chr_01,1466952,1470097,Migut.01G028300.v3.1
Chr_01,1471012,1473904,Migut.01G028400.v3.1
Chr_01,1473918,1480267,Migut.01G028500.v3.1
Chr_01,1483189,1484805,Migut.01G028600.v3.1
Chr_01,1487296,1489098,Migut.01G028700.v3.1
Chr_01,1489209,1491203,Migut.01G028800.v3.1
Chr_01,1491687,1493775,Migut.01G028900.v3.1
Chr_01,1501999,1503823,Migut.01G029000.v3.1
Chr_01,1503921,1506187,Migut.01G029100.v3.1
Chr_01,1505953,1508489,Migut.01G029200.v3.1
Chr_01,1508503,1510611,Migut.01G029300.v3.1
Chr_01,1510879,1512842,Migut.01G029400.v3.1
Chr_01,1512896,1519791,Migut.01G029500.v3.1
Chr_01,1520970,1523758,Migut.01G029600.v3.1
Chr_01,1523887,1525598,Migut.01G029700.v3.1
Chr_01,1527219,1530469,Migut.01G029800.v3.1
Chr_01,1530514,1535122,Migut.01G029900.v3.1
Chr_01,1536490,1539548,Migut.01G030000.v3.1
Chr_01,1549581,1550298,Migut.01G030100.v3.1
Chr_01,1554000,1558777,Migut.01G030200.v3.1
Chr_01,1559483,1563541,Migut.01G030300.v3.1
Chr_01,1565155,1567775,Migut.01G030400.v3.1
Chr_01,1572451,1575963,Migut.01G030500.v3.1
Chr_01,1576793,1579393,Migut.01G030600.v3.1
Chr_01,1579344,1583995,Migut.01G030700.v3.1
Chr_01,1584713,1586477,Migut.01G030800.v3.1
Chr_01,1589009,1591918,Migut.01G030900.v3.1
Chr_01,1600569,1603275,Migut.01G031000.v3.1
Chr_01,1603180,1606059,Migut.01G031100.v3.1
Chr_01,1609366,1612088,Migut.01G031200.v3.1
Chr_01,1612598,1613494,Migut.01G031300.v3.1
Chr_01,1625085,1627022,Migut.01G031400.v3.1
Chr_01,1634115,1636844,Migut.01G031500.v3.1
Chr_01,1639889,1641113,Migut.01G031600.v3.1
Chr_01,1643840,1646198,Migut.01G031700.v3.1
Chr_01,1647498,1651310,Migut.01G031800.v3.1
Chr_01,1651997,1657734,Migut.01G031900.v3.1
Chr_01,1659271,1663095,Migut.01G032000.v3.1
Chr_01,1665419,1666018,Migut.01G032100.v3.1
Chr_01,1672288,1675084,Migut.01G032200.v3.1
Chr_01,1675894,1681032,Migut.01G032300.v3.1
Chr_01,1683929,1685339,Migut.01G032400.v3.1
Chr_01,1688540,1690076,Migut.01G032500.v3.1
Chr_01,1695072,1696862,Migut.01G032600.v3.1
Chr_01,1696257,1701024,Migut.01G032700.v3.1
Chr_01,1701396,1703563,Migut.01G032800.v3.1
Chr_01,1706195,1708005,Migut.01G032900.v3.1
Chr_01,1707965,1709579,Migut.01G033000.v3.1
Chr_01,1709687,1711107,Migut.01G033100.v3.1
Chr_01,1717216,1720203,Migut.01G033200.v3.1
Chr_01,1720277,1723707,Migut.01G033300.v3.1
Chr_01,1726365,1729892,Migut.01G033400.v3.1
Chr_01,1735635,1737720,Migut.01G033500.v3.1
Chr_01,1737972,1742768,Migut.01G033600.v3.1
Chr_01,1763000,1767693,Migut.01G033700.v3.1
Chr_01,1776141,1779273,Migut.01G033800.v3.1
Chr_01,1782985,1785079,Migut.01G033900.v3.1
Chr_01,1786352,1788992,Migut.01G034000.v3.1
Chr_01,1791891,1795426,Migut.01G034100.v3.1
Chr_01,1796663,1800840,Migut.01G034200.v3.1
Chr_01,1803984,1806913,Migut.01G034300.v3.1
Chr_01,1807940,1816641,Migut.01G034400.v3.1
Chr_01,1816963,1821132,Migut.01G034500.v3.1
Chr_01,1823257,1823884,Migut.01G034600.v3.1
Chr_01,1825613,1826488,Migut.01G034700.v3.1
Chr_01,1826719,1829925,Migut.01G034800.v3.1
Chr_01,1830838,1835149,Migut.01G034900.v3.1
Chr_01,1836524,1837385,Migut.01G035000.v3.1
Chr_01,1837684,1841007,Migut.01G035100.v3.1
Chr_01,1843232,1844918,Migut.01G035200.v3.1
Chr_01,1850140,1854339,Migut.01G035300.v3.1
Chr_01,1854896,1859447,Migut.01G035400.v3.1
Chr_01,1859642,1863645,Migut.01G035500.v3.1
Chr_01,1863971,1868086,Migut.01G035600.v3.1
Chr_01,1872763,1877468,Migut.01G035700.v3.1
Chr_01,1884572,1886280,Migut.01G035800.v3.1
Chr_01,1892096,1895734,Migut.01G035900.v3.1
Chr_01,1911140,1915941,Migut.01G036000.v3.1
Chr_01,1929541,1937778,Migut.01G036100.v3.1
Chr_01,1963570,1968008,Migut.01G036200.v3.1
Chr_01,1976037,1980377,Migut.01G036300.v3.1
Chr_01,1980585,1982749,Migut.01G036400.v3.1
Chr_01,1984792,1984983,Migut.01G036500.v3.1
Chr_01,1988289,1992737,Migut.01G036600.v3.1
Chr_01,1993496,1995585,Migut.01G036700.v3.1
Chr_01,1996677,1998429,Migut.01G036800.v3.1
Chr_01,1999946,2002667,Migut.01G036900.v3.1
Chr_01,2003452,2007245,Migut.01G037000.v3.1
Chr_01,2008092,2008739,Migut.01G037100.v3.1
Chr_01,2010183,2012317,Migut.01G037200.v3.1
Chr_01,2012945,2015397,Migut.01G037300.v3.1
Chr_01,2015069,2017647,Migut.01G037400.v3.1
Chr_01,2018439,2020204,Migut.01G037500.v3.1
Chr_01,2022027,2024696,Migut.01G037600.v3.1
Chr_01,2025538,2027302,Migut.01G037700.v3.1
Chr_01,2027702,2031477,Migut.01G037800.v3.1
Chr_01,2031905,2034532,Migut.01G037900.v3.1
Chr_01,2036636,2037978,Migut.01G038000.v3.1
Chr_01,2039290,2040936,Migut.01G038100.v3.1
Chr_01,2041076,2041323,Migut.01G038200.v3.1
Chr_01,2042665,2045783,Migut.01G038300.v3.1
Chr_01,2046185,2049872,Migut.01G038400.v3.1
Chr_01,2049764,2051004,Migut.01G038500.v3.1
Chr_01,2051890,2054247,Migut.01G038600.v3.1
Chr_01,2057229,2058846,Migut.01G038700.v3.1
Chr_01,2064074,2064881,Migut.01G038800.v3.1
Chr_01,2070745,2074313,Migut.01G038900.v3.1
Chr_01,2074823,2077033,Migut.01G039000.v3.1
Chr_01,2088497,2090885,Migut.01G039100.v3.1
Chr_01,2095576,2100260,Migut.01G039200.v3.1
Chr_01,2105863,2109516,Migut.01G039300.v3.1
Chr_01,2110478,2115100,Migut.01G039400.v3.1
Chr_01,2117991,2121684,Migut.01G039500.v3.1
Chr_01,2123288,2127344,Migut.01G039600.v3.1
Chr_01,2128938,2132745,Migut.01G039700.v3.1
Chr_01,2133617,2137953,Migut.01G039800.v3.1
Chr_01,2138395,2142627,Migut.01G039900.v3.1
Chr_01,2150280,2157421,Migut.01G040000.v3.1
Chr_01,2157475,2160653,Migut.01G040100.v3.1
Chr_01,2161948,2163553,Migut.01G040200.v3.1
Chr_01,2170020,2173717,Migut.01G040300.v3.1
Chr_01,2175549,2178681,Migut.01G040400.v3.1
Chr_01,2184121,2185518,Migut.01G040500.v3.1
Chr_01,2191346,2194715,Migut.01G040600.v3.1
Chr_01,2201627,2203239,Migut.01G040700.v3.1
Chr_01,2204302,2205482,Migut.01G040800.v3.1
Chr_01,2208372,2212383,Migut.01G040900.v3.1
Chr_01,2213265,2214859,Migut.01G041000.v3.1
Chr_01,2215210,2225718,Migut.01G041100.v3.1
Chr_01,2240867,2242711,Migut.01G041200.v3.1
Chr_01,2248414,2251032,Migut.01G041300.v3.1
Chr_01,2252167,2256018,Migut.01G041400.v3.1
Chr_01,2257681,2258297,Migut.01G041500.v3.1
Chr_01,2268286,2269703,Migut.01G041600.v3.1
Chr_01,2273677,2275592,Migut.01G041700.v3.1
Chr_01,2275665,2275865,Migut.01G041800.v3.1
Chr_01,2276334,2279303,Migut.01G041900.v3.1
Chr_01,2282109,2285583,Migut.01G042000.v3.1
Chr_01,2286587,2290237,Migut.01G042100.v3.1
Chr_01,2290485,2293437,Migut.01G042200.v3.1
Chr_01,2294228,2301156,Migut.01G042300.v3.1
Chr_01,2305063,2311041,Migut.01G042400.v3.1
Chr_01,2317188,2318249,Migut.01G042500.v3.1
Chr_01,2318250,2318796,Migut.01G042600.v3.1
Chr_01,2318972,2321042,Migut.01G042700.v3.1
Chr_01,2321994,2324205,Migut.01G042800.v3.1
Chr_01,2324602,2326987,Migut.01G042900.v3.1
Chr_01,2332728,2334779,Migut.01G043000.v3.1
Chr_01,2334801,2339554,Migut.01G043100.v3.1
Chr_01,2339555,2341026,Migut.01G043200.v3.1
Chr_01,2343012,2345643,Migut.01G043300.v3.1
Chr_01,2348069,2348546,Migut.01G043400.v3.1
Chr_01,2364484,2364987,Migut.01G043500.v3.1
Chr_01,2369270,2370048,Migut.01G043600.v3.1
Chr_01,2370474,2377545,Migut.01G043700.v3.1
Chr_01,2377284,2380075,Migut.01G043800.v3.1
Chr_01,2387957,2391947,Migut.01G043900.v3.1
Chr_01,2391995,2392890,Migut.01G044000.v3.1
Chr_01,2399043,2406195,Migut.01G044100.v3.1
Chr_01,2410477,2414438,Migut.01G044200.v3.1
Chr_01,2414663,2415892,Migut.01G044300.v3.1
Chr_01,2418401,2427714,Migut.01G044400.v3.1
Chr_01,2428814,2434350,Migut.01G044500.v3.1
Chr_01,2434387,2437411,Migut.01G044600.v3.1
Chr_01,2439617,2440145,Migut.01G044700.v3.1
Chr_01,2442839,2444443,Migut.01G044800.v3.1
Chr_01,2444627,2449197,Migut.01G044900.v3.1
Chr_01,2450309,2452273,Migut.01G045000.v3.1
Chr_01,2454426,2463815,Migut.01G045100.v3.1
Chr_01,2474980,2479493,Migut.01G045200.v3.1
Chr_01,2479090,2480813,Migut.01G045300.v3.1
Chr_01,2481241,2484870,Migut.01G045400.v3.1
Chr_01,2485323,2487685,Migut.01G045500.v3.1
Chr_01,2487828,2489746,Migut.01G045600.v3.1
Chr_01,2490377,2493125,Migut.01G045700.v3.1
Chr_01,2495706,2496651,Migut.01G045800.v3.1
Chr_01,2497131,2500043,Migut.01G045900.v3.1
Chr_01,2499173,2502148,Migut.01G046000.v3.1
Chr_01,2501239,2506278,Migut.01G046100.v3.1
Chr_01,2507205,2509595,Migut.01G046200.v3.1
Chr_01,2522650,2528228,Migut.01G046300.v3.1
Chr_01,2528291,2530645,Migut.01G046400.v3.1
Chr_01,2530956,2533934,Migut.01G046500.v3.1
Chr_01,2533903,2537445,Migut.01G046600.v3.1
Chr_01,2537710,2542303,Migut.01G046700.v3.1
Chr_01,2542864,2545979,Migut.01G046800.v3.1
Chr_01,2546198,2549147,Migut.01G046900.v3.1
Chr_01,2550536,2554377,Migut.01G047000.v3.1
Chr_01,2558255,2561842,Migut.01G047100.v3.1
Chr_01,2562515,2566932,Migut.01G047200.v3.1
Chr_01,2567140,2570158,Migut.01G047300.v3.1
Chr_01,2571751,2574235,Migut.01G047400.v3.1
Chr_01,2575808,2575921,Migut.01G047500.v3.1
Chr_01,2576501,2578320,Migut.01G047600.v3.1
Chr_01,2579078,2581684,Migut.01G047700.v3.1
Chr_01,2587497,2588858,Migut.01G047800.v3.1
Chr_01,2588839,2591885,Migut.01G047900.v3.1
Chr_01,2600253,2605375,Migut.01G048000.v3.1
Chr_01,2605467,2613637,Migut.01G048100.v3.1
Chr_01,2614641,2616340,Migut.01G048200.v3.1
Chr_01,2618147,2619875,Migut.01G048300.v3.1
Chr_01,2619842,2621191,Migut.01G048400.v3.1
Chr_01,2622941,2628496,Migut.01G048500.v3.1
Chr_01,2628920,2633013,Migut.01G048600.v3.1
Chr_01,2632442,2634990,Migut.01G048700.v3.1
Chr_01,2637066,2642697,Migut.01G048800.v3.1
Chr_01,2643271,2658326,Migut.01G048900.v3.1
Chr_01,2658616,2660352,Migut.01G049000.v3.1
Chr_01,2668707,2670898,Migut.01G049100.v3.1
Chr_01,2672137,2675180,Migut.01G049200.v3.1
Chr_01,2682935,2684620,Migut.01G049300.v3.1
Chr_01,2694622,2697796,Migut.01G049400.v3.1
Chr_01,2698828,2700804,Migut.01G049500.v3.1
Chr_01,2702594,2705481,Migut.01G049600.v3.1
Chr_01,2707548,2710299,Migut.01G049700.v3.1
Chr_01,2710834,2713743,Migut.01G049800.v3.1
Chr_01,2717224,2719855,Migut.01G049900.v3.1
Chr_01,2733667,2735394,Migut.01G050000.v3.1
Chr_01,2737764,2742608,Migut.01G050100.v3.1
Chr_01,2742942,2745963,Migut.01G050200.v3.1
Chr_01,2748596,2753139,Migut.01G050300.v3.1
Chr_01,2753913,2755307,Migut.01G050400.v3.1
Chr_01,2755684,2758100,Migut.01G050500.v3.1
Chr_01,2758975,2762378,Migut.01G050600.v3.1
Chr_01,2763482,2766263,Migut.01G050700.v3.1
Chr_01,2776686,2782886,Migut.01G050800.v3.1
Chr_01,2783397,2786802,Migut.01G050900.v3.1
Chr_01,2796532,2799473,Migut.01G051000.v3.1
Chr_01,2800598,2803143,Migut.01G051100.v3.1
Chr_01,2805058,2806567,Migut.01G051200.v3.1
Chr_01,2806650,2810404,Migut.01G051300.v3.1
