Ortholog Group	Gene Name	Organism Name	Ortholog Gene Name	Ortholog Organism Name	Relationship
447_948_6710	Migut.13G001400	Mguttatus_var_IM62_v4.1	AT3G07830	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001400	Mguttatus_var_IM62_v4.1	AT3G07840	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001400	Mguttatus_var_IM62_v4.1	AT3G07820	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001400	Mguttatus_var_IM62_v4.1	AT5G48140	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001500	Mguttatus_var_IM62_v4.1	AT3G07830	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001500	Mguttatus_var_IM62_v4.1	AT3G07840	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001500	Mguttatus_var_IM62_v4.1	AT3G07820	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001500	Mguttatus_var_IM62_v4.1	AT5G48140	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001600	Mguttatus_var_IM62_v4.1	AT3G07830	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001600	Mguttatus_var_IM62_v4.1	AT3G07840	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001600	Mguttatus_var_IM62_v4.1	AT3G07820	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001600	Mguttatus_var_IM62_v4.1	AT5G48140	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001700	Mguttatus_var_IM62_v4.1	AT3G07830	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001700	Mguttatus_var_IM62_v4.1	AT3G07840	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001700	Mguttatus_var_IM62_v4.1	AT3G07820	Athaliana_Araport11	many-to-many
447_948_6710	Migut.13G001700	Mguttatus_var_IM62_v4.1	AT5G48140	Athaliana_Araport11	many-to-many
447_948_8711	Migut.13G002000	Mguttatus_var_IM62_v4.1	AT2G04845	Athaliana_Araport11	one-to-one
447_948_8508	Migut.13G002100	Mguttatus_var_IM62_v4.1	AT3G07800	Athaliana_Araport11	one-to-one
447_948_4502	Migut.13G002400	Mguttatus_var_IM62_v4.1	AT3G07790	Athaliana_Araport11	one-to-one
447_948_9684	Migut.13G002600	Mguttatus_var_IM62_v4.1	AT2G04880	Athaliana_Araport11	one-to-one
447_948_4439	Migut.13G002700	Mguttatus_var_IM62_v4.1	AT5G48150	Athaliana_Araport11	one-to-one
447_948_359	Migut.13G002900	Mguttatus_var_IM62_v4.1	AT2G05170	Athaliana_Araport11	one-to-one
447_948_10101	Migut.13G003000	Mguttatus_var_IM62_v4.1	AT3G07760	Athaliana_Araport11	one-to-one
447_948_563	Migut.13G003100	Mguttatus_var_IM62_v4.1	AT2G05120	Athaliana_Araport11	one-to-one
447_948_5061	Migut.13G003200	Mguttatus_var_IM62_v4.1	AT3G27690	Athaliana_Araport11	one-to-many
447_948_5061	Migut.13G003200	Mguttatus_var_IM62_v4.1	AT2G05070	Athaliana_Araport11	one-to-many
447_948_12154	Migut.13G003400	Mguttatus_var_IM62_v4.1	AT4G16447	Athaliana_Araport11	one-to-one
447_948_7355	Migut.13G003500	Mguttatus_var_IM62_v4.1	AT5G27620	Athaliana_Araport11	one-to-one
447_948_9052	Migut.13G003600	Mguttatus_var_IM62_v4.1	AT3G07870	Athaliana_Araport11	one-to-one
447_948_5611	Migut.13G003700	Mguttatus_var_IM62_v4.1	AT4G17050	Athaliana_Araport11	one-to-one
447_948_10965	Migut.13G003800	Mguttatus_var_IM62_v4.1	AT5G35740	Athaliana_Araport11	one-to-one
447_948_10255	Migut.13G003900	Mguttatus_var_IM62_v4.1	AT2G04900	Athaliana_Araport11	one-to-one
447_948_3782	Migut.13G004000	Mguttatus_var_IM62_v4.1	AT2G05230	Athaliana_Araport11	one-to-many
447_948_3782	Migut.13G004000	Mguttatus_var_IM62_v4.1	AT2G05250	Athaliana_Araport11	one-to-many
447_948_11237	Migut.13G004100	Mguttatus_var_IM62_v4.1	AT5G48170	Athaliana_Araport11	one-to-one
447_948_1598	Migut.13G004200	Mguttatus_var_IM62_v4.1	AT5G35790	Athaliana_Araport11	one-to-one
447_948_12190	Migut.13G004300	Mguttatus_var_IM62_v4.1	AT2G04495	Athaliana_Araport11	one-to-many
447_948_12190	Migut.13G004300	Mguttatus_var_IM62_v4.1	AT2G04515	Athaliana_Araport11	one-to-many
447_948_1749	Migut.13G004400	Mguttatus_var_IM62_v4.1	AT5G28530	Athaliana_Araport11	one-to-one
447_948_11538	Migut.13G004500	Mguttatus_var_IM62_v4.1	AT5G64140	Athaliana_Araport11	many-to-many
447_948_11538	Migut.13G004500	Mguttatus_var_IM62_v4.1	AT5G03850	Athaliana_Araport11	many-to-many
447_948_11538	Migut.13G004500	Mguttatus_var_IM62_v4.1	AT3G10090	Athaliana_Araport11	many-to-many
447_948_11269	Migut.13G004600	Mguttatus_var_IM62_v4.1	AT1G71430	Athaliana_Araport11	one-to-one
447_948_5534	Migut.13G004700	Mguttatus_var_IM62_v4.1	AT3G07720	Athaliana_Araport11	one-to-one
447_948_1166	Migut.13G004800	Mguttatus_var_IM62_v4.1	AT3G07700	Athaliana_Araport11	one-to-one
447_948_11717	Migut.13G004900	Mguttatus_var_IM62_v4.1	AT1G63070	Athaliana_Araport11	many-to-many
447_948_11717	Migut.13G004900	Mguttatus_var_IM62_v4.1	AT1G63150	Athaliana_Araport11	many-to-many
447_948_11717	Migut.13G004900	Mguttatus_var_IM62_v4.1	AT1G62590	Athaliana_Araport11	many-to-many
447_948_11717	Migut.13G004900	Mguttatus_var_IM62_v4.1	AT1G62910	Athaliana_Araport11	many-to-many
447_948_2844	Migut.13G005000	Mguttatus_var_IM62_v4.1	AT5G48230	Athaliana_Araport11	one-to-one
447_948_10257	Migut.13G005200	Mguttatus_var_IM62_v4.1	AT1G14990	Athaliana_Araport11	one-to-one
447_948_2562	Migut.13G005300	Mguttatus_var_IM62_v4.1	AT3G07670	Athaliana_Araport11	one-to-one
447_948_7933	Migut.13G005400	Mguttatus_var_IM62_v4.1	AT2G04360	Athaliana_Araport11	one-to-one
447_948_4569	Migut.13G005500	Mguttatus_var_IM62_v4.1	AT3G07660	Athaliana_Araport11	one-to-one
447_948_2712	Migut.13G005800	Mguttatus_var_IM62_v4.1	AT1G06560	Athaliana_Araport11	one-to-one
447_948_3513	Migut.13G005900	Mguttatus_var_IM62_v4.1	AT2G42980	Athaliana_Araport11	one-to-many
447_948_3513	Migut.13G005900	Mguttatus_var_IM62_v4.1	AT3G59080	Athaliana_Araport11	one-to-many
447_948_10009	Migut.13G006100	Mguttatus_var_IM62_v4.1	AT3G07640	Athaliana_Araport11	one-to-one
447_948_7409	Migut.13G006200	Mguttatus_var_IM62_v4.1	AT2G04235	Athaliana_Araport11	one-to-one
447_948_7739	Migut.13G006300	Mguttatus_var_IM62_v4.1	AT3G07650	Athaliana_Araport11	one-to-many
447_948_7739	Migut.13G006300	Mguttatus_var_IM62_v4.1	AT5G48250	Athaliana_Araport11	one-to-many
447_948_9018	Migut.13G006400	Mguttatus_var_IM62_v4.1	AT5G48240	Athaliana_Araport11	one-to-one
447_948_10834	Migut.13G006500	Mguttatus_var_IM62_v4.1	AT2G04240	Athaliana_Araport11	one-to-one
447_948_1928	Migut.13G006700	Mguttatus_var_IM62_v4.1	AT2G04280	Athaliana_Araport11	many-to-many
447_948_1928	Migut.13G006700	Mguttatus_var_IM62_v4.1	AT4G12700	Athaliana_Araport11	many-to-many
447_948_3533	Migut.13G006800	Mguttatus_var_IM62_v4.1	AT5G08560	Athaliana_Araport11	many-to-one
447_948_464	Migut.13G006900	Mguttatus_var_IM62_v4.1	AT1G60490	Athaliana_Araport11	one-to-one
447_948_3573	Migut.13G007000	Mguttatus_var_IM62_v4.1	AT1G06570	Athaliana_Araport11	one-to-one
447_948_869	Migut.13G007100	Mguttatus_var_IM62_v4.1	AT1G06590	Athaliana_Araport11	one-to-one
447_948_3606	Migut.13G007200	Mguttatus_var_IM62_v4.1	AT2G30880	Athaliana_Araport11	one-to-one
447_948_6828	Migut.13G007300	Mguttatus_var_IM62_v4.1	AT5G10710	Athaliana_Araport11	one-to-one
447_948_648	Migut.13G007800	Mguttatus_var_IM62_v4.1	AT1G06670	Athaliana_Araport11	one-to-many
447_948_648	Migut.13G007800	Mguttatus_var_IM62_v4.1	AT2G30800	Athaliana_Araport11	one-to-many
447_948_9641	Migut.13G109800	Mguttatus_var_IM62_v4.1	AT1G61105	Athaliana_Araport11	one-to-one
447_948_6254	Migut.13G109900	Mguttatus_var_IM62_v4.1	AT1G61100	Athaliana_Araport11	one-to-one
447_948_3533	Migut.13G007900	Mguttatus_var_IM62_v4.1	AT5G08560	Athaliana_Araport11	many-to-one
447_948_6457	Migut.13G008000	Mguttatus_var_IM62_v4.1	AT4G12730	Athaliana_Araport11	many-to-one
447_948_9477	Migut.13G008100	Mguttatus_var_IM62_v4.1	AT1G03760	Athaliana_Araport11	one-to-one
447_948_12293	Migut.13G008500	Mguttatus_var_IM62_v4.1	AT1G50325	Athaliana_Araport11	many-to-many
447_948_12293	Migut.13G008500	Mguttatus_var_IM62_v4.1	AT1G50340	Athaliana_Araport11	many-to-many
447_948_12293	Migut.13G008500	Mguttatus_var_IM62_v4.1	AT1G48010	Athaliana_Araport11	many-to-many
447_948_7193	Migut.13G008600	Mguttatus_var_IM62_v4.1	AT2G32270	Athaliana_Araport11	many-to-many
447_948_7193	Migut.13G008600	Mguttatus_var_IM62_v4.1	AT1G05300	Athaliana_Araport11	many-to-many
447_948_7193	Migut.13G008700	Mguttatus_var_IM62_v4.1	AT2G32270	Athaliana_Araport11	many-to-many
447_948_7193	Migut.13G008700	Mguttatus_var_IM62_v4.1	AT1G05300	Athaliana_Araport11	many-to-many
447_948_5899	Migut.13G008800	Mguttatus_var_IM62_v4.1	AT4G15130	Athaliana_Araport11	one-to-one
447_948_11884	Migut.13G008900	Mguttatus_var_IM62_v4.1	AT4G15120	Athaliana_Araport11	one-to-many
447_948_11884	Migut.13G008900	Mguttatus_var_IM62_v4.1	AT3G22160	Athaliana_Araport11	one-to-many
447_948_1595	Migut.13G009000	Mguttatus_var_IM62_v4.1	AT4G15110	Athaliana_Araport11	one-to-one
447_948_1080	Migut.13G009100	Mguttatus_var_IM62_v4.1	AT3G22170	Athaliana_Araport11	one-to-one
447_948_10602	Migut.13G009200	Mguttatus_var_IM62_v4.1	AT2G43640	Athaliana_Araport11	many-to-one
447_948_2097	Migut.13G009300	Mguttatus_var_IM62_v4.1	AT3G22200	Athaliana_Araport11	one-to-one
447_948_11940	Migut.13G009400	Mguttatus_var_IM62_v4.1	AT3G22210	Athaliana_Araport11	one-to-one
447_948_9915	Migut.13G009500	Mguttatus_var_IM62_v4.1	AT1G05320	Athaliana_Araport11	one-to-many
447_948_9915	Migut.13G009500	Mguttatus_var_IM62_v4.1	AT2G32240	Athaliana_Araport11	one-to-many
447_948_5471	Migut.13G009600	Mguttatus_var_IM62_v4.1	AT5G41920	Athaliana_Araport11	one-to-one
447_948_5535	Migut.13G009800	Mguttatus_var_IM62_v4.1	AT3G22250	Athaliana_Araport11	one-to-one
447_948_7717	Migut.13G009900	Mguttatus_var_IM62_v4.1	AT3G22260	Athaliana_Araport11	one-to-one
447_948_1821	Migut.13G010000	Mguttatus_var_IM62_v4.1	AT3G22270	Athaliana_Araport11	many-to-many
447_948_1821	Migut.13G010000	Mguttatus_var_IM62_v4.1	AT4G14990	Athaliana_Araport11	many-to-many
447_948_4160	Migut.13G010200	Mguttatus_var_IM62_v4.1	AT1G06690	Athaliana_Araport11	one-to-one
447_948_10632	Migut.13G010300	Mguttatus_var_IM62_v4.1	AT2G43010	Athaliana_Araport11	one-to-many
447_948_10632	Migut.13G010300	Mguttatus_var_IM62_v4.1	AT3G59060	Athaliana_Araport11	one-to-many
447_948_2068	Migut.13G010500	Mguttatus_var_IM62_v4.1	AT3G59050	Athaliana_Araport11	one-to-many
447_948_2068	Migut.13G010500	Mguttatus_var_IM62_v4.1	AT2G43020	Athaliana_Araport11	one-to-many
447_948_6539	Migut.13G010800	Mguttatus_var_IM62_v4.1	AT2G31450	Athaliana_Araport11	one-to-many
447_948_6539	Migut.13G010800	Mguttatus_var_IM62_v4.1	AT1G05900	Athaliana_Araport11	one-to-many
447_948_7856	Migut.13G011000	Mguttatus_var_IM62_v4.1	AT3G10260	Athaliana_Araport11	one-to-one
447_948_7193	Migut.13G011200	Mguttatus_var_IM62_v4.1	AT2G32270	Athaliana_Araport11	many-to-many
447_948_7193	Migut.13G011200	Mguttatus_var_IM62_v4.1	AT1G05300	Athaliana_Araport11	many-to-many
447_948_12293	Migut.13G012000	Mguttatus_var_IM62_v4.1	AT1G50325	Athaliana_Araport11	many-to-many
447_948_12293	Migut.13G012000	Mguttatus_var_IM62_v4.1	AT1G50340	Athaliana_Araport11	many-to-many
447_948_12293	Migut.13G012000	Mguttatus_var_IM62_v4.1	AT1G48010	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012100	Mguttatus_var_IM62_v4.1	AT4G15260	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012100	Mguttatus_var_IM62_v4.1	AT3G21750	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012100	Mguttatus_var_IM62_v4.1	AT3G21790	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012100	Mguttatus_var_IM62_v4.1	AT3G21760	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012100	Mguttatus_var_IM62_v4.1	AT3G21780	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012100	Mguttatus_var_IM62_v4.1	AT3G21800	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012100	Mguttatus_var_IM62_v4.1	AT4G15280	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012200	Mguttatus_var_IM62_v4.1	AT4G15260	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012200	Mguttatus_var_IM62_v4.1	AT3G21750	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012200	Mguttatus_var_IM62_v4.1	AT3G21790	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012200	Mguttatus_var_IM62_v4.1	AT3G21760	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012200	Mguttatus_var_IM62_v4.1	AT3G21780	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012200	Mguttatus_var_IM62_v4.1	AT3G21800	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012200	Mguttatus_var_IM62_v4.1	AT4G15280	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012300	Mguttatus_var_IM62_v4.1	AT4G15260	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012300	Mguttatus_var_IM62_v4.1	AT3G21750	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012300	Mguttatus_var_IM62_v4.1	AT3G21790	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012300	Mguttatus_var_IM62_v4.1	AT3G21760	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012300	Mguttatus_var_IM62_v4.1	AT3G21780	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012300	Mguttatus_var_IM62_v4.1	AT3G21800	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012300	Mguttatus_var_IM62_v4.1	AT4G15280	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012400	Mguttatus_var_IM62_v4.1	AT4G15260	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012400	Mguttatus_var_IM62_v4.1	AT3G21750	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012400	Mguttatus_var_IM62_v4.1	AT3G21790	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012400	Mguttatus_var_IM62_v4.1	AT3G21760	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012400	Mguttatus_var_IM62_v4.1	AT3G21780	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012400	Mguttatus_var_IM62_v4.1	AT3G21800	Athaliana_Araport11	many-to-many
447_948_6586	Migut.13G012400	Mguttatus_var_IM62_v4.1	AT4G15280	Athaliana_Araport11	many-to-many
447_948_3609	Migut.13G012700	Mguttatus_var_IM62_v4.1	AT1G24290	Athaliana_Araport11	one-to-one
447_948_150	Migut.13G012800	Mguttatus_var_IM62_v4.1	AT1G79000	Athaliana_Araport11	many-to-many
447_948_150	Migut.13G012800	Mguttatus_var_IM62_v4.1	AT1G16710	Athaliana_Araport11	many-to-many
447_948_12210	Migut.13G012900	Mguttatus_var_IM62_v4.1	AT1G16705	Athaliana_Araport11	one-to-one
447_948_856	Migut.13G013200	Mguttatus_var_IM62_v4.1	AT2G32940	Athaliana_Araport11	many-to-one
447_948_856	Migut.13G013300	Mguttatus_var_IM62_v4.1	AT2G32940	Athaliana_Araport11	many-to-one
447_948_8634	Migut.13G013400	Mguttatus_var_IM62_v4.1	AT4G03960	Athaliana_Araport11	one-to-one
447_948_3142	Migut.13G013500	Mguttatus_var_IM62_v4.1	AT2G32970	Athaliana_Araport11	many-to-one
447_948_4309	Migut.13G013600	Mguttatus_var_IM62_v4.1	AT1G05020	Athaliana_Araport11	many-to-one
447_948_6538	Migut.13G110000	Mguttatus_var_IM62_v4.1	AT4G04980	Athaliana_Araport11	one-to-many
447_948_6538	Migut.13G110000	Mguttatus_var_IM62_v4.1	AT1G61080	Athaliana_Araport11	one-to-many
447_948_6538	Migut.13G110000	Mguttatus_var_IM62_v4.1	AT1G11070	Athaliana_Araport11	one-to-many
447_948_4904	Migut.13G013800	Mguttatus_var_IM62_v4.1	AT2G05810	Athaliana_Araport11	many-to-one
447_948_7091	Migut.13G013900	Mguttatus_var_IM62_v4.1	AT4G22140	Athaliana_Araport11	one-to-one
447_948_2908	Migut.13G014000	Mguttatus_var_IM62_v4.1	AT3G21650	Athaliana_Araport11	one-to-many
447_948_2908	Migut.13G014000	Mguttatus_var_IM62_v4.1	AT4G15415	Athaliana_Araport11	one-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G70030	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G24220	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G27260	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G27280	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G24230	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G24200	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G27270	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G24250	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G27240	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G24210	Athaliana_Araport11	many-to-many
447_948_12263	Migut.13G014100	Mguttatus_var_IM62_v4.1	AT1G23810	Athaliana_Araport11	many-to-many
447_948_2142	Migut.13G014400	Mguttatus_var_IM62_v4.1	AT3G21670	Athaliana_Araport11	one-to-one
447_948_2421	Migut.13G014500	Mguttatus_var_IM62_v4.1	AT2G32590	Athaliana_Araport11	one-to-one
447_948_6624	Migut.13G014600	Mguttatus_var_IM62_v4.1	AT4G15440	Athaliana_Araport11	many-to-one
447_948_6624	Migut.13G014700	Mguttatus_var_IM62_v4.1	AT4G15440	Athaliana_Araport11	many-to-one
447_948_9978	Migut.13G014800	Mguttatus_var_IM62_v4.1	AT1G05070	Athaliana_Araport11	one-to-many
447_948_9978	Migut.13G014800	Mguttatus_var_IM62_v4.1	AT2G32580	Athaliana_Araport11	one-to-many
447_948_1840	Migut.13G014900	Mguttatus_var_IM62_v4.1	AT1G05180	Athaliana_Araport11	one-to-many
447_948_1840	Migut.13G014900	Mguttatus_var_IM62_v4.1	AT2G32410	Athaliana_Araport11	one-to-many
447_948_979	Migut.13G015000	Mguttatus_var_IM62_v4.1	AT2G32415	Athaliana_Araport11	one-to-one
447_948_3351	Migut.13G015100	Mguttatus_var_IM62_v4.1	AT2G32430	Athaliana_Araport11	one-to-many
447_948_3351	Migut.13G015100	Mguttatus_var_IM62_v4.1	AT1G05170	Athaliana_Araport11	one-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT5G01140	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT5G37320	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT5G01120	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT3G09110	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT5G01150	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT3G09120	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT5G43240	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT3G09140	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015400	Mguttatus_var_IM62_v4.1	AT5G01130	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT5G01140	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT5G37320	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT5G01120	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT3G09110	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT5G01150	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT3G09120	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT5G43240	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT3G09140	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015500	Mguttatus_var_IM62_v4.1	AT5G01130	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT5G01140	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT5G37320	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT5G01120	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT3G09110	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT5G01150	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT3G09120	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT5G43240	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT3G09140	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015600	Mguttatus_var_IM62_v4.1	AT5G01130	Athaliana_Araport11	many-to-many
447_948_10066	Migut.13G015800	Mguttatus_var_IM62_v4.1	AT5G01140	Athaliana_Araport11	many-to-many
