IM62v4,IM767v2,category,stratum,Athal,defline
Migut.11G011700,MgIM767.11G011300,1:1,out,AT5G04040,(1 of 1) PTHR14226:SF10 - LIPASE 4-RELATED
Migut.11G011800,MgIM767.11G011400,1:1,out,AT3G57170,"(1 of 1) K03860 - phosphatidylinositol glycan, class Q (PIGQ, GPI1)"
Migut.11G011900,MgIM767.11G011500,1:1,out,AT2G41430,(1 of 1) PTHR33790:SF10 - PROTEIN EARLY RESPONSIVE TO DEHYDRATION 15
Migut.11G012000,MgIM767.11G011600,1:1,out,AT5G04010,(1 of 1) PTHR12874:SF16 - F-BOX PROTEIN
Migut.11G012100,MgIM767.11G011700,1:1,out,AT3G19360,(1 of 1) PTHR12547:SF121 - ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 39
Migut.11G012200,MgIM767.11G011800,1:1,out,AT2G41460,"(1 of 1) K01142 - exodeoxyribonuclease III (E3.1.11.2, xthA)"
Migut.11G012300,MgIM767.11G011900,1:1,out,AT5G40010,"(1 of 1) PTHR23070:SF128 - AAA-ATPASE ASD, MITOCHONDRIAL"
Migut.11G012400,MgIM767.11G012000,1:1,out,AT2G41490,(1 of 2) 2.7.8.15 - UDP-N-acetylglucosamine--dolichyl-phosphate / N-acetylglucosamine-1-phosphate transferase.
Migut.11G012500a,MgIM767.11G012100MgIM767.11G012200,1:1,out,AT5G03960,(1 of 1) PTHR32295:SF212 - PROTEIN IQ-DOMAIN 12
x,MgIM767.11G012300,IM767+,out,,
Migut.11G012600,MgIM767.11G012400,1:1,out,AT5G66520,(1 of 16) PF01535//PF13041//PF14432//PF20430//PF20431 - PPR repeat (PPR) // PPR repeat family (PPR_2) // DYW family of nucleic acid deaminases (DYW_deaminase) // E+ motif (Eplus_motif) // E motif (E_motif)
Migut.11G012700,MgIM767.11G012500,1:1,out,AT5G14800,(1 of 1) 1.5.1.2 - pyrroline-5-carboxylate reductase. / P5CR.
Migut.11G012800,MgIM767.11G012600,1:1,out,AT2G41380,(1 of 1) PTHR45180:SF1 - OS01G0307686 PROTEIN
Migut.11G012900,MgIM767.11G012700,1:1,out,AT2G41350,(1 of 1) K16584 - HAUS augmin-like complex subunit 1 (HAUS1)
Migut.11G013000,MgIM767.11G012800,1:1,out,AT3G14470,(1 of 1) PTHR23155:SF1237 - DISEASE RESISTANCE RPP13-LIKE PROTEIN 1-RELATED
Migut.11G013100,MgIM767.11G012900,1:1,out,AT3G57050,(1 of 1) K01760 - cystathionine beta-lyase (metC)
Migut.11G013200,MgIM767.11G013000,1:1,out,AT3G10250,(1 of 13) PF09713 - Plant protein 1589 of unknown function (A_thal_3526) (A_thal_3526)
Migut.11G013300,MgIM767.11G013100,1:1,out,AT3G57040,(1 of 1) PTHR43874:SF167 - TWO-COMPONENT RESPONSE REGULATOR ARR9
Migut.11G013400,MgIM767.11G013200,1:1,out,AT5G19400,"(1 of 1) K14409 - protein SMG7 (SMG7, EST1C)"
Migut.11G013500,MgIM767.11G013300,1:1,out,AT2G41200,(1 of 1) PTHR37216:SF1 - EXPRESSED PROTEIN
Migut.11G013600,MgIM767.11G013400,1:1,out,AT2G41190,(1 of 1) PTHR48017:SF111 - AMINO ACID TRANSPORTER AVT1A
Migut.11G013700,MgIM767.11G013500,1:1,out,AT3G12600,"(1 of 1) PTHR12629:SF0 - APS, ISOFORM A"
Migut.11G013800,MgIM767.11G013600,1:1,out,AT2G41180,"(1 of 1) PTHR33624:SF2 - SIGMA FACTOR BINDING PROTEIN 1, CHLOROPLASTIC-RELATED"
Migut.11G013900,MgIM767.11G013700,1:1,out,AT5G03415,(1 of 1) PTHR12548:SF9 - TRANSCRIPTION FACTOR DP
Migut.11G014000,MgIM767.11G013800,1:1,out,AT5G06950,(1 of 2) PTHR45693:SF46 - TRANSCRIPTION FACTOR TGA2-RELATED
Migut.11G014100,MgIM767.11G013900,1:1,out,AT1G80270,(1 of 1) PTHR45717:SF15 - OS01G0280400 PROTEIN
Migut.11G014200,MgIM767.11G014000,1:1,out,AT1G15480,(1 of 1) PTHR45717:SF41 - WD_REPEATS_REGION DOMAIN-CONTAINING PROTEIN
Migut.11G014300,MgIM767.11G014100,1:1,out,AT2G41140,(1 of 1) PTHR24349:SF543 - CDPK-RELATED KINASE 1
Migut.11G014400,MgIM767.11G014200,1:1,out,AT1G63380,(1 of 8) 1.1.1.100 - 3-oxoacyl-[acyl-carrier-protein] reductase. / 3-oxoacyl-[acyl-carrier-protein] reductase.
Migut.11G014500,MgIM767.11G014300,1:1,out,AT3G55290,(1 of 8) 1.1.1.100 - 3-oxoacyl-[acyl-carrier-protein] reductase. / 3-oxoacyl-[acyl-carrier-protein] reductase.
Migut.11G014600,MgIM767.11G014400,1:1,out,AT3G55290,(1 of 8) 1.1.1.100 - 3-oxoacyl-[acyl-carrier-protein] reductase. / 3-oxoacyl-[acyl-carrier-protein] reductase.
Migut.11G014700,MgIM767.11G014500,1:1,out,AT3G55290,(1 of 8) 1.1.1.100 - 3-oxoacyl-[acyl-carrier-protein] reductase. / 3-oxoacyl-[acyl-carrier-protein] reductase.
Migut.11G014800,MgIM767.11G014600,1:1,out,AT5G05130,"(1 of 1) K15711 - SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:3.6.4.- 6.3.2.19] (SMARCA3, HLTF)"
Migut.11G014900,MgIM767.11G014700,1:1,out,AT5G05140,(1 of 1) PTHR46554:SF7 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 26B-RELATED
Migut.11G015000,MgIM767.11G014800,1:1,out,AT5G12250,(1 of 1) PTHR11588:SF106 - TUBULIN BETA-6 CHAIN
Migut.11G015100,MgIM767.11G014900,1:1,out,AT5G06150,(1 of 2) PTHR10177:SF532 - CYCLIN-B1-2-RELATED
Migut.11G015200,MgIM767.11G015000,1:1,out,AT3G10760,(1 of 1) PTHR31442:SF29 - HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN
Migut.11G015300,MgIM767.11G015100,1:1,out,AT3G56680,(1 of 2) PTHR15672:SF29 - EXPRESSED PROTEIN
Migut.11G015400,MgIM767.11G015200,1:1,out,AT2G40950,(1 of 61) PF00170 - bZIP transcription factor (bZIP_1)
Migut.11G015500,MgIM767.11G015300,1:1,out,AT3G56650,"(1 of 1) PTHR31407:SF18 - PSBP DOMAIN-CONTAINING PROTEIN 4, CHLOROPLASTIC"
Migut.11G015600,MgIM767.11G015400,1:1,out,AT3G56640,(1 of 1) PTHR12702:SF0 - EXOCYST COMPLEX COMPONENT 6
Migut.11G015700,MgIM767.11G015500,1:1,out,AT1G68570,(1 of 1) PTHR11654:SF188 - PROTEIN NRT1_ PTR FAMILY 3.1
Migut.11G015800,MgIM767.11G015600,1:1,out,AT5G07050,(1 of 1) PTHR31218:SF257 - WAT1-RELATED PROTEIN
Migut.11G015900,MgIM767.11G015700,1:1,out,AT3G12470,"(1 of 7) PTHR13620:SF59 - POLYNUCLEOTIDYL TRANSFERASE, RIBONUCLEASE H-LIKE SUPERFAMILY PROTEIN"
Migut.11G016000,MgIM767.11G015800,1:1,out,AT5G48570,(1 of 1) PF00254//PF14559 - FKBP-type peptidyl-prolyl cis-trans isomerase (FKBP_C) // Tetratricopeptide repeat (TPR_19)
Migut.11G016100,MgIM767.11G015900,1:1,out,AT3G12460,(1 of 11) 3.1.11.1 - exodeoxyribonuclease I. / exonuclease I.
Migut.11G016200,MgIM767.11G016000,1:1,out,AT2G40850,(1 of 1) PTHR45800:SF21 - PHOSPHATIDYLINOSITOL 4-KINASE GAMMA 1
Migut.11G016300,MgIM767.11G016100,1:1,out,AT2G40840,(1 of 1) PTHR32518:SF3 - 4-ALPHA-GLUCANOTRANSFERASE DPE2
Migut.11G016400,MgIM767.11G016200,1:1,out,AT3G10810,(1 of 1) PTHR33826:SF8 - BNAA01G31410D PROTEIN
Migut.11G016500,MgIM767.11G016300,1:1,out,AT3G12390,(1 of 1) PTHR21713:SF40 - NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT ALPHA-LIKE PROTEIN 1
Migut.11G016600,MgIM767.11G016400,1:1,out,AT5G39000,(1 of 4) PTHR34590:SF5 - OS04G0586500 PROTEIN
Migut.11G016700,MgIM767.11G016500,1:1,out,AT3G14460,(1 of 1) PTHR23155:SF1235 - DISEASE RESISTANCE RPP13-LIKE PROTEIN 1
Migut.11G016800,MgIM767.11G016600,1:1,out,AT3G56580,(1 of 1) PTHR15710:SF47 - E3 UBIQUITIN-PROTEIN LIGASE RZF1
Migut.11G016900,MgIM767.11G016700,1:1,out,AT3G56880,(1 of 1) PTHR33179:SF52 - VQ DOMAIN-CONTAINING PROTEIN
Migut.11G017000,MgIM767.11G016800,1:1,out,AT1G72050,(1 of 1) K09191 - general transcription factor IIIA (GTF3A)
Migut.11G017100,MgIM767.11G016900,1:1,out,AT3G56900,(1 of 1) K14320 - aladin (AAAS)
Migut.11G017200,MgIM767.11G017000,1:1,out,AT3G10740,(1 of 1) PTHR31776:SF0 - ALPHA-L-ARABINOFURANOSIDASE 1-RELATED
Migut.11G017300,MgIM767.11G017100,1:1,out,AT5G04940,"(1 of 1) PTHR45660:SF73 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC SUVH1"
Migut.11G017400,MgIM767.11G017200,1:1,out,AT3G56930,(1 of 1) PTHR22883:SF391 - PROTEIN S-ACYLTRANSFERASE 4-RELATED
Migut.11G017500,MgIM767.11G017300,1:1,out,AT3G56930,(1 of 1) PTHR22883:SF391 - PROTEIN S-ACYLTRANSFERASE 4-RELATED
Migut.11G017600,MgIM767.11G017400,1:1,out,AT3G56940,"(1 of 1) K04035 - magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase (E1.14.13.81, acsF, chlE)"
Migut.11G017700,MgIM767.11G017500,1:1,out,AT3G56950,(1 of 1) PTHR47720:SF1 - AQUAPORIN SIP2-1-RELATED
